time,weeks,room,location,name,week,teacher,format
11:40-13:10,"2, 4, 6, 8, 10, 12, 14, 16",2305/1 (бывш. 303/2(усл.)) ауд.,"Кронверкский пр., д.49, лит.А",Чётная неделя,Программирование (лаб),Харитонова Анастасия Евгеньевна,Очно-дистанционный
13:30-15:00,"2, 4, 6, 8, 10, 12, 14, 16",2305/1 (бывш. 303/2 (усл.)) ауд.,"Кронверкский пр., д.49, лит.А",Чётная неделя,Программирование (лаб),Харитонова Анастасия Евгеньевна,Очно-дистанционный
15:20-16:50,"2, 4, 6, 8, 10, 12, 14, 16",2305/1 (бывш. 303/2 (усл.)) ауд.,"Кронверкский пр., д.49, лит.А",Чётная неделя,Основы профессиональной деятельности (лаб),Сорокин Роман Борисович,Очно-дистанционный
17:00-18:30,"2, 4, 6, 8, 10, 12, 14, 16",2305/1 (бывш. 303/2 (усл.)) ауд.,"Кронверкский пр., д.49, лит.А",Чётная неделя,Основы профессиональной деятельности (лаб),Сорокин Роман Борисович,Очно-дистанционный
